상가업소번호,상호명,지점명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,시도코드,시도명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,법정동명,지번코드,대지구분코드,대지구분명,지번본번지,지번부번지,지번주소,도로명코드,도로명,건물본번지,건물부번지,건물관리번호,건물명,도로명주소,구우편번호,신우편번호,동정보,층정보,호정보,경도,위도
19911397,커피빈코리아선릉로93길점,코리아선릉로93길점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11680,강남구,1168064000,역삼1동,1168010100,역삼동,1168010100206960042,1,대지,696,42.0,서울특별시 강남구 역삼동 696-42,116804166502,서울특별시 강남구 선릉로93길,6,,1168010100106960042022041,,서울특별시 강남구 선릉로93길 6,135080,6149.0,,1,,127.047883157395,37.505675040057994
20020124,스완카페트,,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11560,영등포구,1156072000,대림3동,1156013300,대림동,1156013300206040056,1,대지,604,56.0,서울특별시 영등포구 대림동 604-56,115604154302,서울특별시 영등포구 도신로10가길,11,1.0,1156013300106040056037792,,서울특별시 영등포구 도신로10가길 11-1,150070,7379.0,,2,,126.89771043997801,37.5036933368184
20004707,커피빈,코리아교대점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11650,서초구,1165051000,서초1동,1165010800,서초동,1165010800216570005,1,대지,1657,5.0,서울특별시 서초구 서초동 1657-5,116503121024,서울특별시 서초구 서초중앙로,118,,1165010800116570005024412,카이스시스템빌딩,서울특별시 서초구 서초중앙로 118,137070,6634.0,,1,,127.014217033954,37.492387659064704
19993199,고려대학교교육관쎄리오점,,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11290,성북구,1129060000,안암동,1129012500,안암동5가,1129012500200010002,1,대지,1,2.0,서울특별시 성북구 안암동5가 1-2,112903005035,서울특별시 성북구 안암로,145,,1129012500100010002039525,고려대학교안암캠퍼스(인문사회계),서울특별시 성북구 안암로 145,136701,2841.0,,1,32,127.031701809695,37.5884849860916
19973708,왕실,,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11140,중구,1114055000,명동,1114012700,명동2가,1114012700201050000,1,대지,105,,서울특별시 중구 명동2가 105,111403101001,서울특별시 중구 남대문로,52,13.0,1114012700101050000019781,,서울특별시 중구 남대문로 52-13,100810,4535.0,,1,,126.98241880802901,37.562273608482
20076690,파스쿠찌,디큐브아트센터2호점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11530,구로구,1153051000,신도림동,1153010100,신도림동,1153010100206920000,1,대지,692,,서울특별시 구로구 신도림동 692,115303000028,서울특별시 구로구 경인로,662,,1153010100103600045000001,디큐브시티,서울특별시 구로구 경인로 662,152706,8209.0,,9,,126.888484621418,37.508058038284105
20659878,커피빈,코리아대학로대명거리점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11110,종로구,1111065000,혜화동,1111017200,명륜4가,1111017200200510000,1,대지,51,,서울특별시 종로구 명륜4가 51,111104100032,서울특별시 종로구 대명길,25,,1111017200100510000032165,,서울특별시 종로구 대명길 25,110524,3078.0,,3,,127.000170846364,37.5831492497775
20278754,망고식스,명동페이리스점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11140,중구,1114055000,명동,1114012700,명동2가,1114012700200550016,1,대지,55,16.0,서울특별시 중구 명동2가 55-16,111404103156,서울특별시 중구 명동4길,26,,1114012700100550016019770,,서울특별시 중구 명동4길 26,100810,4536.0,,3,,126.983728102857,37.5625461885785
20676428,요거프레소,쌍문점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11320,도봉구,1132067000,쌍문2동,1132010500,쌍문동,1132010500200200000,1,대지,20,,서울특별시 도봉구 쌍문동 20,113203109001,서울특별시 도봉구 도당로,7,,1132010500100200000006625,,서울특별시 도봉구 도당로 7,132030,1385.0,,1,105,127.034745665547,37.658727723835604
20297445,바빈스커피,,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11680,강남구,1168065000,역삼2동,1168010100,역삼동,1168010100208040000,1,대지,804,,서울특별시 강남구 역삼동 804,116803122010,서울특별시 강남구 테헤란로,156,,1168010100108040000000002,역삼역,서울특별시 강남구 테헤란로 156,135080,6236.0,E,1,41,127.036602597823,37.50070886806979
