상호명,도로명주소,상권업종대분류명,상권업종중분류명,상권업종소분류명,표준산업분류명,행정동명,경도,위도
동화장,"서울특별시 동작구 여의대방로24길 137, (대방동)",음식,중식,중국음식/중국집,중식 음식점업,대방동,126.92765537112801,37.4992294723946
우림,"서울특별시 동작구 동작대로7길 28, (사당동)",음식,한식,한식/백반/한정식,한식 음식점업,사당1동,126.980242177491,37.4794034273439
포마토김밥,"서울특별시 동작구 만양로14가길 22, (노량진동)",음식,분식,라면김밥분식,분식 및 김밥 전문점,노량진1동,126.94509899536999,37.5125688674931
제2노량진메가스터디입시학원,"서울특별시 동작구 노량진로32길 72-3, (본동)",학문/교육,학원-보습교습입시,학원-입시,일반 교과 학원,노량진1동,126.956489882643,37.5109220201745
씨티빌고시원,"서울특별시 동작구 상도로15길 106, (상도동)",학문/교육,도서관/독서실,고시원,독서실 운영업,상도2동,126.936674368689,37.5044289538206
미화꽃집,"서울특별시 동작구 국사봉2바길 41, (신대방동)",소매,선물/팬시/기념품,꽃집/꽃배달,화초 및 산식물 소매업,신대방2동,126.929591391826,37.494327308431004
보라매공원주차장,"서울특별시 동작구 보라매로5길 28, (신대방동)",생활서비스,자동차/이륜차,주차장운영,주차장 운영업,신대방2동,126.922643189877,37.4938676847761
귀뚜라미보일러사당동에이에스전문점,"서울특별시 동작구 솔밭로 100, (사당동)",소매,철물/난방/건설자재소매,보일러/냉난방용품,철물 및 난방용구 소매업,사당5동,126.96788493758999,37.4851079188091
동아영상,"서울특별시 동작구 현충로 210, (동작동)",소매,기타판매업,음반/테이프/CD,음반 및 비디오물 소매업,사당2동,126.97839263768101,37.4998143189733
대흥인쇄사,"서울특별시 동작구 사당로 284, (사당동)",생활서비스,광고/인쇄,인쇄종합,기타 인쇄업,사당1동,126.97916024532101,37.4841336289601
리안헤어,"서울특별시 동작구 사당로 300, (사당동, 이수자이)",생활서비스,이/미용/건강,여성미용실,두발미용업,사당1동,126.980908852661,37.484428051670704
가운디앤씨,"서울특별시 동작구 노량진로8길 3, (노량진동)",부동산,부동산중개,부동산중개,부동산 자문 및 중개업,노량진2동,126.936474674796,37.5129240286664
뷰티플렉스,"서울특별시 동작구 동작대로 115, (사당동)",소매,화장품소매,화장품판매점,화장품 및 방향제 소매업,사당2동,126.981644631931,37.48686724114471
고려한백인터내셔날,"서울특별시 동작구 동작대로29길 119, (사당동, 극동아파트)",소매,건강/미용식품,건강식품판매,건강보조식품 소매업,사당2동,126.976088353931,37.4880086068165
산천칡냉면,"서울특별시 동작구 사당로14가길 18, (사당동)",음식,한식,냉면집,한식 음식점업,사당4동,126.971480649389,37.4842832760932
대림김밥,"서울특별시 동작구 여의대방로 250, (대방동)",음식,분식,라면김밥분식,분식 및 김밥 전문점,대방동,126.924499433972,37.5087338553304
신대방부대고기,"서울특별시 동작구 국사봉2길 22, (신대방동)",음식,한식,한식/백반/한정식,한식 음식점업,신대방2동,126.928400964223,37.4977044571201
진미닭갈비,"서울특별시 동작구 장승배기로10길 8, (상도동)",음식,닭/오리요리,닭갈비전문,한식 음식점업,상도2동,126.93969532681601,37.50434798392929
Bloom,"서울특별시 동작구 흑석로 97-1, (흑석동)",음식,양식,정통양식/경양식,서양식 음식점업,흑석동,126.96036975715201,37.507649385339604
